SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,1,1,Alabama,Autauga County,12,0,55869,27092,28777
50,1,1,Alabama,Autauga County,12,1,3277,1713,1564
50,1,1,Alabama,Autauga County,12,2,3465,1787,1678
50,1,1,Alabama,Autauga County,12,3,3851,1977,1874
50,1,1,Alabama,Autauga County,12,4,3659,1854,1805
50,1,1,Alabama,Autauga County,12,5,3178,1634,1544
50,1,1,Alabama,Autauga County,12,6,3799,1858,1941
50,1,1,Alabama,Autauga County,12,7,3533,1730,1803
50,1,1,Alabama,Autauga County,12,8,3661,1762,1899
50,1,1,Alabama,Autauga County,12,9,3604,1679,1925
50,1,1,Alabama,Autauga County,12,10,3877,1874,2003
50,1,1,Alabama,Autauga County,12,11,3775,1853,1922
50,1,1,Alabama,Autauga County,12,12,3896,1895,2001
50,1,1,Alabama,Autauga County,12,13,3370,1563,1807
50,1,1,Alabama,Autauga County,12,14,2683,1296,1387
50,1,1,Alabama,Autauga County,12,15,2330,1017,1313
50,1,1,Alabama,Autauga County,12,16,1796,743,1053
50,1,1,Alabama,Autauga County,12,17,1179,498,681
50,1,1,Alabama,Autauga County,12,18,936,359,577
50,1,3,Alabama,Baldwin County,12,0,223234,108247,114987
50,1,3,Alabama,Baldwin County,12,1,12039,6249,5790
50,1,3,Alabama,Baldwin County,12,2,13066,6728,6338
50,1,3,Alabama,Baldwin County,12,3,14079,7107,6972
50,1,3,Alabama,Baldwin County,12,4,13084,6579,6505
50,1,3,Alabama,Baldwin County,12,5,11091,5601,5490
50,1,3,Alabama,Baldwin County,12,6,12618,6241,6377
50,1,3,Alabama,Baldwin County,12,7,12551,6131,6420
50,1,3,Alabama,Baldwin County,12,8,13446,6551,6895
50,1,3,Alabama,Baldwin County,12,9,13224,6361,6863
50,1,3,Alabama,Baldwin County,12,10,14472,6957,7515
50,1,3,Alabama,Baldwin County,12,11,14319,6888,7431
50,1,3,Alabama,Baldwin County,12,12,16267,7724,8543
50,1,3,Alabama,Baldwin County,12,13,16148,7403,8745
50,1,3,Alabama,Baldwin County,12,14,14881,6916,7965
50,1,3,Alabama,Baldwin County,12,15,13163,6285,6878
50,1,3,Alabama,Baldwin County,12,16,9043,4219,4824
50,1,3,Alabama,Baldwin County,12,17,5297,2470,2827
50,1,3,Alabama,Baldwin County,12,18,4446,1837,2609
50,1,5,Alabama,Barbour County,12,0,24686,13064,11622
50,1,5,Alabama,Barbour County,12,1,1309,684,625
50,1,5,Alabama,Barbour County,12,2,1408,684,724
50,1,5,Alabama,Barbour County,12,3,1476,740,736
50,1,5,Alabama,Barbour County,12,4,1402,739,663
50,1,5,Alabama,Barbour County,12,5,1487,889,598
50,1,5,Alabama,Barbour County,12,6,1785,1141,644
50,1,5,Alabama,Barbour County,12,7,1669,1010,659
50,1,5,Alabama,Barbour County,12,8,1545,911,634
50,1,5,Alabama,Barbour County,12,9,1413,864,549
50,1,5,Alabama,Barbour County,12,10,1578,898,680
50,1,5,Alabama,Barbour County,12,11,1504,804,700
50,1,5,Alabama,Barbour County,12,12,1709,846,863
50,1,5,Alabama,Barbour County,12,13,1540,757,783
50,1,5,Alabama,Barbour County,12,14,1501,691,810
50,1,5,Alabama,Barbour County,12,15,1365,610,755
50,1,5,Alabama,Barbour County,12,16,939,410,529
50,1,5,Alabama,Barbour County,12,17,587,234,353
50,1,5,Alabama,Barbour County,12,18,469,152,317
50,1,7,Alabama,Bibb County,12,0,22394,11929,10465
50,1,7,Alabama,Bibb County,12,1,1246,622,624
50,1,7,Alabama,Bibb County,12,2,1198,631,567
