GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJY7E001,AJY7E002,AJY7E003,AJY7E004,AJY7E005,AJY7E006,AJY7E007,AJY7E008,AJY7E009,AJY7E010,AJY7E011,AJY7E012,AJY7E013,AJY7E014,AJY7E015,AJY7E016,AJY7E017,AJY7E018,AJY7E019,AJY7E020,AJY7E021,AJY7E022,AJY7E023,AJY7E024,AJY7E025,AJY7E026,AJY7E027,AJY7E028,AJY7E029,AJY7E030,AJY7E031,AJY7E032,AJY7E033,AJY7E034,AJY7E035,AJY7E036,AJY7E037,AJY7E038,AJY7E039,AJY7E040,AJY7E041,AJY7E042,AJY7E043,AJY7E044,AJY7E045,AJY7E046,AJY7E047,AJY7E048,AJY7E049,AJY7E050,AJY7E051,AJY7E052,AJY7E053,AJY7E054,AJY7E055,AJY7E056,AJY7E057,AJY7E058,AJY7E059,AJZAE001
"G0100010","2014-2018",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",,,21115,3175,1817,657,7,435,148,67,1160,107,27,21,56,3,1053,34,680,235,104,1358,693,190,88,325,90,665,63,10,315,277,17940,13344,11331,132,4059,4867,2273,2013,661,0,378,224,59,1352,50,496,469,337,4596,1979,15,647,703,614,2617,170,393,737,1317,58786
"G0100030","2014-2018",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",,,78622,8656,3734,1623,28,560,450,585,2111,326,40,119,135,32,1785,100,910,631,144,4922,1618,90,350,897,281,3304,219,349,1442,1294,69966,47625,39829,397,11382,16055,11995,7796,2096,29,757,899,411,5700,160,1697,2353,1490,22341,9355,365,2004,3716,3270,12986,412,2234,4419,5921,55962
"G0100050","2014-2018",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",,,9186,2383,1299,313,26,114,117,56,986,84,15,16,29,24,902,77,544,205,76,1084,312,18,77,128,89,772,10,136,254,372,6803,4731,3595,77,829,1611,1078,1136,262,0,85,110,67,874,3,370,272,229,2072,1035,26,359,373,277,1037,0,98,339,600,34186
"G0100070","2014-2018",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",,,6840,968,518,181,0,37,86,58,337,64,0,61,3,0,273,0,135,133,5,450,198,12,39,128,19,252,0,0,111,141,5872,4429,3445,5,1086,1465,889,984,323,17,3,156,147,661,0,148,287,226,1443,771,39,235,206,291,672,12,34,180,446,45340
"G0100090","2014-2018",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",,,20600,2944,1544,809,28,407,228,146,735,153,0,119,34,0,582,83,345,118,36,1400,621,5,75,395,146,779,12,92,318,357,17656,13560,11133,209,3455,4676,2793,2427,1032,3,349,502,178,1395,17,392,514,472,4096,1890,62,380,840,608,2206,0,250,664,1292,48695
"G0100110","2014-2018",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",,,3609,1215,768,229,0,124,61,44,539,37,37,0,0,0,502,94,292,79,37,447,216,3,55,104,54,231,0,83,54,94,2394,1713,1179,26,159,622,372,534,153,0,39,106,8,381,0,112,199,70,681,329,8,77,183,61,352,0,0,153,199,32152
"G0100130","2014-2018",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",,,6708,1537,835,303,5,97,117,84,532,51,34,3,14,0,481,17,270,175,19,702,223,0,13,117,93,479,24,74,212,169,5171,3594,2683,28,615,1138,902,911,153,31,23,76,23,758,1,280,284,193,1577,712,39,203,312,158,865,22,117,293,433,39109
"G0100150","2014-2018",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",,,45033,8611,4496,1093,51,403,425,214,3403,371,28,199,136,8,3032,500,1689,641,202,4115,1520,255,375,706,184,2595,318,281,1045,951,36422,26337,20402,305,6251,8826,5020,5935,1600,59,707,477,357,4335,179,1517,1448,1191,10085,4946,346,1415,2044,1141,5139,235,632,1432,2840,45197
"G0100170","2014-2018",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",,,13516,2414,978,313,40,86,162,25,665,113,52,8,38,15,552,31,342,116,63,1436,559,14,108,238,199,877,9,141,423,304,11102,7681,5400,126,1407,2374,1493,2281,671,77,233,207,154,1610,72,560,488,490,3421,1506,92,450,661,303,1915,18,302,613,982,39872
"G0100190","2014-2018",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",,,10606,1821,915,483,25,137,156,165,432,12,0,4,8,0,420,10,207,200,3,906,453,8,38,313,94,453,27,12,205,209,8785,6417,5579,142,1497,2209,1731,838,239,0,31,120,88,599,13,140,177,269,2368,1201,48,215,628,310,1167,0,85,351,731,41014
